"Parámetro","Tipo","Descripción","Valores admitidos / formato","Ejemplo","Notas"
"search_term","string","Texto buscado por el usuario.","string libre, lowercase","""miniexcavadora""","Recortar a 100 caracteres."
"results_count","integer","Número de resultados devueltos por la búsqueda.","entero >= 0","12","Mandar 0 si no hay resultados."
"search_location","string","Dónde se ha lanzado la búsqueda.","home | header | catalog","""home"",""header""","-"
"position","integer","Posición del resultado en la lista (0-indexed).","entero >= 0","2","-"
"item_id","string","Identificador único del producto/categoría.","slug interno","""miniexcav-1.5t""","Estable, no cambiar entre versiones."
"item_name","string","Nombre legible del producto.","string","""Miniexcavadora 1.5T""","-"
"item_category","string","Categoría principal.","string","""Maquinaria construcción""","-"
"item_category2","string","Subcategoría.","string","""Excavadoras""","Opcional."
"item_variant","string","Variante (duración, tamaño…).","string","""3d""","-"
"items","array","Lista de items en formato GA4.","array de objetos {item_id, item_name, item_category, quantity, price, item_variant}","[{""item_id"":""miniexcav-1.5t"",""quantity"":1,""price"":150}]","Estructura GA4 ecommerce. Máximo 200 items."
"quantity","integer","Cantidad de unidades.","entero >= 1","1","-"
"price","number","Precio unitario.","número decimal","150.00","En la moneda del parámetro currency."
"value","number","Valor total del evento.","número decimal","450.00","quantity * price * duración."
"currency","string","Moneda ISO 4217.","EUR | MXN","""EUR""","Mandar siempre junto con value."
"form_id","string","Identificador estable del formulario.","contact | calculator | onlyphone | reservation | signup | login","""calculator""","Mantener nomenclatura snake_case."
"form_location","string","Dónde está el formulario en el sitio.","home | about | landing_es | landing_mx | checkout | modal","""home""","-"
"lead_source","string","Origen funcional del lead.","contact_form | calculator | onlyphone | reservation | whatsapp","""calculator""","Útil para ROAS por canal."
"lead_category","string","Categoría de máquina del lead.","string","""Miniexcavadoras""","Para clasificar leads antes de respuesta."
"lead_duration_days","integer","Días de alquiler estimados.","entero","3","-"
"country","string","País del usuario o landing.","es | mx","""es""","Detección automática + selección manual."
"user_id","string","Identificador interno de usuario logueado.","id interno","""u_12345""","NUNCA email crudo. Sólo cuando hay login."
"user_type","string","Tipo de usuario.","renter | partner","""partner""","renter = demandante, partner = alquilador."
"method","string","Método de autenticación.","email | google | facebook","""email""","-"
"error_code","string","Código de error técnico.","string corto","""invalid_credentials""","Sin PII."
"error_message","string","Mensaje de error.","string","""Server error""","NUNCA incluir email/teléfono."
"accepted","boolean","Estado del checkbox de términos.","true | false","true","-"
"field_name","string","Nombre del campo con error de validación.","string","""postal_code""","-"
"error_type","string","Tipo de error de validación.","required | invalid_format | too_short | too_long","""invalid_format""","-"
"item_list_id","string","ID del listado.","slug","""miniexcavadoras""","-"
"item_list_name","string","Nombre legible del listado.","string","""Miniexcavadoras""","-"
"filter_type","string","Tipo de filtro aplicado.","location | duration | category | price","""location""","-"
"filter_value","string","Valor del filtro.","string","""madrid""","-"
"outbound_url","string","URL de destino externo.","URL absoluta","""https://alquilador.com""","-"
"destination_type","string","Tipo de destino externo.","rental_company | partner | external","""rental_company""","-"
"path","string","Ruta de la página.","path relativo","""/alquiler/no-existe""","-"
"referrer","string","Referrer de la navegación.","URL","""https://google.com""","-"
"step","string","Paso del flujo en cancelaciones.","form | success_modal | confirmation","""form""","-"
"context","string","Contexto donde ocurre add/remove from cart.","calculator | cart","""cart""","Para diferenciar carrito visual del resumen de calculadora."
"source","string","Origen funcional dentro del sitio.","home_cta | header | footer | banner","""home_cta""","-"
"_ts","number","Timestamp Unix ms (lo añade el helper automáticamente).","entero","1714312800000","No mandar manualmente."
