"Bloque","Evento (event_name)","Cuándo se dispara","Parámetros obligatorios","Parámetros opcionales","Ejemplo de payload","Ubicación en el sitio","Prioridad","Ticket","Estado","Validado DebugView","Notas","Snippet JS","Punto de inserción"
"Buscador","search","El usuario lanza una búsqueda desde la barra de la home y se devuelven resultados (incluye 0 resultados).","search_term, results_count","search_location, country","{""event"":""search"",""search_term"":""miniexcavadora"",""results_count"":12,""search_location"":""home"",""country"":""es""}","Barra de búsqueda principal de la home","P0","ANL-2","Pending","No","Sustituye al ""Búsqueda Realizada en la Home"". Mandar también con results_count=0 para detectar consultas sin match.","track('search', { search_term: query, results_count: results.length, search_location: 'home' });","Componente del buscador home: dentro del handler onSearch/onSubmit, tras recibir la respuesta de la API de búsqueda."
"Buscador","select_search_result","Click en uno de los resultados sugeridos del buscador.","search_term, item_name","position, item_id, country","{""event"":""select_search_result"",""search_term"":""miniexcavadora"",""item_name"":""Miniexcavadora 1.5T"",""position"":2}","Buscador principal de la home","P0","ANL-2","Pending","No","Sustituye al ""Resultado de Búsqueda Seleccionado"".","track('select_search_result', { search_term: query, item_name: result.name, position: idx });","onClick de cada resultado/sugerencia, antes de la navegación."
"Buscador","search_clear","El usuario limpia el texto del buscador.","search_term","country","{""event"":""search_clear"",""search_term"":""miniexcavadora""}","Buscador principal de la home","P1","ANL-2","Pending","No","Sustituye al ""Resultado de Búsqueda Eliminado"".","track('search_clear', { search_term: previousQuery });","Handler onClear/onReset del buscador, antes de vaciar el state."
"WhatsApp","whatsapp_widget_open","Apertura del widget flotante de WhatsApp.","-","country","{""event"":""whatsapp_widget_open"",""country"":""es""}","Botón flotante de WhatsApp (todas las páginas)","P0","ANL-8","Pending","No","Primer paso antes de elegir país.","track('whatsapp_widget_open');","onClick del botón flotante de WhatsApp, cuando pasa a estado open=true."
"WhatsApp","whatsapp_country_click","Click en el botón de WhatsApp de un país concreto.","country (es|mx)","-","{""event"":""whatsapp_country_click"",""country"":""es""}","Widget de WhatsApp","P0","ANL-8","Pending","No","Unifica los dos eventos actuales (España y México) en uno con parámetro country.","track('whatsapp_country_click', { country: 'es' });","onClick del enlace wa.me/<numero> de cada país, antes de la redirección."
"Formularios","form_start","Primer foco en cualquier campo del formulario, una sola vez por sesión de formulario.","form_id, form_location","country","{""event"":""form_start"",""form_id"":""contact"",""form_location"":""home""}","Todos los formularios (contact, calculator, onlyphone, reservation, signup)","P0","ANL-5, ANL-6, ANL-7","Pending","No","Reemplaza al ""Formulario OnlyPhone Visto"". Aplica a todos los formularios para medir abandono. NO disparar un evento por cada cambio de campo.","if (!startedRef.current) { track('form_start', { form_id: 'contact', form_location: 'home' }); startedRef.current = true; }","onFocus del primer input. Usar un useRef o flag local para que se dispare UNA vez por instancia del formulario."
"Formularios","form_error","El backend devuelve error al enviar un formulario.","form_id, error_code","error_message, country","{""event"":""form_error"",""form_id"":""calculator"",""error_code"":""500"",""error_message"":""Server error""}","Todos los formularios","P0","ANL-4, ANL-5, ANL-7","Pending","No","Sustituye al ""Error al Enviar Formulario"". NO incluir email/teléfono en error_message.","track('form_error', { form_id: 'calculator', error_code: String(err.status), error_message: err.code });","Catch del fetch/axios del submit. Mandar SOLO códigos, NO el body completo (puede llevar PII)."
"Formularios","form_field_error","Validación fallida de un campo concreto del formulario de reserva o registro.","form_id, field_name, error_type","-","{""event"":""form_field_error"",""form_id"":""reservation"",""field_name"":""postal_code"",""error_type"":""invalid_format""}","Formulario de reserva, registro","P1","ANL-7","Pending","No","Sustituye al ""Campo actualizado: {field}"" (que era ruido). Solo se dispara en error de validación.","track('form_field_error', { form_id: 'reservation', field_name: 'postal_code', error_type: 'invalid_format' });","Hook de validación (Yup/Zod/RHF): dentro del callback onError de cada campo, no en cada onChange."
"Formularios","form_cancel","El usuario cierra/cancela el formulario sin enviarlo.","form_id","step, country","{""event"":""form_cancel"",""form_id"":""onlyphone"",""step"":""phone""}","onlyPhone, registro, modales","P1","ANL-5, ANL-6","Pending","No","Sustituye a ""Petición de Llamada Cancelada"" y ""Cancelar Registro"".","track('form_cancel', { form_id: 'onlyphone', step: 'phone' });","onClick del botón cerrar/cancelar del modal, o en el unmount si form_start se disparó pero no hubo submit."
"Formularios","generate_lead","Backend confirma con 200 que el lead se ha registrado correctamente. KEY EVENT.","form_id, lead_source, currency","value, country, items, lead_category, lead_duration_days","{""event"":""generate_lead"",""form_id"":""calculator"",""lead_source"":""calculator"",""value"":450,""currency"":""EUR"",""items"":[{""item_id"":""miniexcav-1.5t"",""item_name"":""Miniexcavadora 1.5T"",""quantity"":1,""price"":150}]}","Todos los formularios al confirmar envío","P0","ANL-4, ANL-5, ANL-7, ANL-9","Pending","No","Marca como conversion en GA4. UNIFICA: ""Formulario de Contacto Exitoso"", ""Envío Exitoso del Formulario"", ""Petición de Llamada Correcta"" y ""Reserva Completada"". Duplicar server-side (ANL-9). NO email en label.","track('generate_lead', { form_id: 'reservation', lead_source: 'reservation', value: cartTotal, currency: 'EUR', items: cartItems });","Tras la respuesta 200 del POST al endpoint del formulario. NO en el onClick. Duplicar también en el backend (ver ANL-9 en ANALYTICS.md)."
"Calculadora","view_calculator","El usuario entra a la calculadora de precios.","-","country, source","{""event"":""view_calculator"",""country"":""es"",""source"":""home_cta""}","Página de calculadora","P1","ANL-4","Pending","No","Permite medir abandono entre llegada y primer add_to_cart.","track('view_calculator', { country });","useEffect(() => { ... }, []) al montar el componente raíz de la calculadora."
"Calculadora / Carrito","add_to_cart","El usuario añade un artículo al resumen de la calculadora o al carrito principal.","items, value, currency","country, context (calculator|cart)","{""event"":""add_to_cart"",""currency"":""EUR"",""value"":450,""items"":[{""item_id"":""miniexcav-1.5t"",""item_name"":""Miniexcavadora 1.5T"",""item_category"":""Maquinaria construcción"",""item_variant"":""3d"",""quantity"":1,""price"":150}]}","Calculadora + carrito principal (resumen, dropdown, móvil)","P0","ANL-4, ANL-7","Pending","No","Sustituye a ""Artículo añadido al Resumen"". CRÍTICO: la función del carrito existe pero NO se dispara hoy. Resolver en ANL-7.","track('add_to_cart', { currency: 'EUR', value: item.price * item.quantity, items: [toGA4Item(item)], context: 'cart' });","Handler onAddItem de la calculadora Y onAddToCart del carrito principal (la utilidad ya existe en el repo, hay que llamarla)."
"Calculadora / Carrito","remove_from_cart","El usuario elimina un artículo del resumen o del carrito.","items, value, currency","country, context","{""event"":""remove_from_cart"",""currency"":""EUR"",""value"":450,""items"":[{""item_id"":""miniexcav-1.5t"",""item_name"":""Miniexcavadora 1.5T"",""quantity"":1,""price"":150}]}","Calculadora + carrito (resumen, dropdown, móvil)","P0","ANL-4, ANL-7","Pending","No","Sustituye a ""Artículo eliminado del Resumen"" y ""Eliminar del Carrito"".","track('remove_from_cart', { currency: 'EUR', value, items: [toGA4Item(removedItem)], context: 'cart' });","Handler onRemove en los TRES sitios: resumen visible, dropdown del header y vista móvil."
"Carrito / Checkout","begin_checkout","El usuario entra al formulario de reserva con items en carrito.","items, value, currency","country, coupon","{""event"":""begin_checkout"",""currency"":""EUR"",""value"":450,""items"":[{""item_id"":""miniexcav-1.5t"",""quantity"":1,""price"":150}]}","Página de reserva / checkout","P0","ANL-7","Pending","No","Marca el inicio del checkout. Permite construir audiencia ""carrito abandonado"" en GA4 (begin_checkout sin generate_lead en 24h).","track('begin_checkout', { currency: 'EUR', value: cartTotal, items: cartItems });","useEffect al montar la página de checkout/reserva, dentro de un if (cartItems.length > 0)."
"Carrito / Checkout","begin_checkout_submit","Click en ""Solicitar cotización"" tras aceptar términos.","items, value, currency","country","{""event"":""begin_checkout_submit"",""currency"":""EUR"",""value"":450,""items"":[{""item_id"":""miniexcav-1.5t"",""quantity"":1,""price"":150}]}","Botón final del formulario de reserva","P0","ANL-7","Pending","No","Sustituye a ""Reserva Completada"". Diferencia el click del envío confirmado (que es generate_lead).","track('begin_checkout_submit', { currency: 'EUR', value: cartTotal, items: cartItems });","onClick del botón ""Solicitar cotización"", justo antes del fetch al backend (después de validar términos)."
"Login / Registro","login","Login completado correctamente.","method","user_id, country","{""event"":""login"",""method"":""email"",""user_id"":""u_12345""}","Formulario de login","P0","ANL-6","Pending","No","Sustituye al ""Formulario de Login Exitoso"". NO email/nombre en label — pasar user_id hasheado.","track('login', { method: 'email', user_id: user.id });","Tras 200 OK del POST /api/login, una vez tienes el user.id de la respuesta."
"Login / Registro","login_error","Login devuelve error.","method, error_code","country","{""event"":""login_error"",""method"":""email"",""error_code"":""invalid_credentials""}","Formulario de login","P0","ANL-6","Pending","No","Sustituye al ""Formulario de Login Erróneo"". NO email en label.","track('login_error', { method: 'email', error_code: err.code || String(err.status) });","Catch del POST /api/login. NO mandar email."
"Login / Registro","sign_up_view","El usuario abre el modal o página de registro.","user_type (renter|partner)","country, source","{""event"":""sign_up_view"",""user_type"":""renter"",""source"":""checkout""}","Modal/página de registro","P0","ANL-6","Pending","No","Sustituye a ""Formulario de Registro Visto"". Distinguir demandante (renter) de alquilador (partner).","track('sign_up_view', { user_type: 'renter', source: 'checkout' });","useEffect al montar el modal/página de registro. user_type viene del prop o del prop o de la ruta (/registro vs /alquiladores)."
"Login / Registro","sign_up","Alta de usuario completada con éxito. KEY EVENT (partner).","method, user_type","user_id, country","{""event"":""sign_up"",""method"":""email"",""user_type"":""partner"",""user_id"":""u_12345""}","Modal/página de registro","P0","ANL-6, ANL-9","Pending","No","Sustituye a ""Formulario de Registro Exitoso"". Marcar conversion solo cuando user_type=partner. Server-side en ANL-9.","track('sign_up', { method: 'email', user_type: 'partner', user_id: newUser.id });","Tras 200 OK del POST /api/signup. Llamar también a identify() para setear user_properties. Duplicar server-side (ANL-9)."
"Login / Registro","sign_up_error","Alta de usuario devuelve error.","method, user_type, error_code","country","{""event"":""sign_up_error"",""method"":""email"",""user_type"":""renter"",""error_code"":""email_taken""}","Modal/página de registro","P1","ANL-6","Pending","No","Sustituye a ""Formulario de Registro Erróneo"".","track('sign_up_error', { method: 'email', user_type: 'renter', error_code: err.code });","Catch del POST /api/signup."
"Login / Registro","sign_up_cancel","Cancelación del proceso de registro o cierre del mensaje de éxito.","user_type, step (form|success_modal)","country","{""event"":""sign_up_cancel"",""user_type"":""renter"",""step"":""form""}","Modal/página de registro","P1","ANL-6","Pending","No","Unifica ""Cancelar Registro"" y ""Cerrar Registro Exitoso"".","track('sign_up_cancel', { user_type: 'renter', step: 'form' });","onClick de cerrar el modal de registro (step='form') Y onClick de cerrar el mensaje de éxito (step='success_modal')."
"Términos","terms_toggle","El usuario marca o desmarca el checkbox de términos.","accepted (boolean), form_id","country","{""event"":""terms_toggle"",""accepted"":true,""form_id"":""checkout""}","Checkbox de términos en cualquier formulario","P1","ANL-7","Pending","No","Unifica ""Aceptar Términos"" y ""Desmarcar Términos"" en uno con parámetro accepted.","track('terms_toggle', { accepted: e.target.checked, form_id: 'checkout' });","onChange del checkbox de términos en cualquier formulario."
"Catálogo","view_item_list","El usuario ve un listado de productos (categoría, ubicación, búsqueda).","item_list_id, item_list_name, items","country","{""event"":""view_item_list"",""item_list_id"":""miniexcavadoras"",""item_list_name"":""Miniexcavadoras"",""items"":[{""item_id"":""miniexcav-1.5t"",""item_name"":""Miniexcavadora 1.5T"",""index"":0}]}","/alquiler/maquinaria/*, /ubicaciones/*","P1","ANL-3","Pending","No","NUEVO. Hoy no se mide qué categorías/ubicaciones consulta el usuario.","track('view_item_list', { item_list_id: category.slug, item_list_name: category.name, items: products.map(toGA4Item) });","useEffect al montar las páginas de listado (/alquiler/maquinaria/* y /ubicaciones/*) cuando ya están los items cargados."
"Catálogo","view_item","El usuario abre la ficha de un producto/categoría.","items, currency","value, country","{""event"":""view_item"",""currency"":""EUR"",""items"":[{""item_id"":""miniexcav-1.5t"",""item_name"":""Miniexcavadora 1.5T"",""item_category"":""Maquinaria construcción""}]}","Página de detalle de producto","P1","ANL-3","Pending","No","NUEVO. Permite funnel completo desde catálogo a lead.","track('view_item', { currency: 'EUR', items: [toGA4Item(product)] });","useEffect al montar la página de detalle de producto."
"Catálogo","select_item","Click en una tarjeta de producto desde un listado.","item_list_name, items","country","{""event"":""select_item"",""item_list_name"":""Miniexcavadoras"",""items"":[{""item_id"":""miniexcav-1.5t"",""item_name"":""Miniexcavadora 1.5T"",""index"":2}]}","Tarjetas de producto en listados","P1","ANL-3","Pending","No","NUEVO. Permite analizar posición/CTR de tarjetas.","track('select_item', { item_list_name: category.name, items: [{ ...toGA4Item(product), index: idx }] });","onClick de cada tarjeta de producto, antes de navegar."
"Catálogo","filter_apply","El usuario aplica un filtro u ordenación en un listado.","filter_type, filter_value","item_list_name, country","{""event"":""filter_apply"",""filter_type"":""location"",""filter_value"":""madrid"",""item_list_name"":""Miniexcavadoras""}","Listados con filtros (categoría, ubicación, duración)","P2","ANL-3","Pending","No","NUEVO. Útil para entender intención y mejorar UX.","track('filter_apply', { filter_type: 'location', filter_value: selectedValue, item_list_name });","onChange (con debounce 300ms) de cada control de filtro u ordenación."
"Engagement","click_outbound","Click que lleva al usuario fuera del dominio.","outbound_url, destination_type","item_id, country","{""event"":""click_outbound"",""outbound_url"":""https://alquilador.com"",""destination_type"":""rental_company""}","Cualquier link saliente","P2","ANL-8","Pending","No","NUEVO. GA4 lo trae en Enhanced Measurement, pero conviene parametrizar destination_type para distinguir alquiladores.","track('click_outbound', { outbound_url: link.href, destination_type: 'rental_company' });","Mejor con event delegation global en _app.jsx/_layout: document.addEventListener('click', ...) filtrando por <a target='_blank'> o host distinto."
"Engagement","page_not_found","Carga de página 404.","path","referrer, country","{""event"":""page_not_found"",""path"":""/alquiler/no-existe"",""referrer"":""https://google.com""}","Plantilla 404","P2","ANL-8","Pending","No","NUEVO. Detecta enlaces rotos y errores de rutas.","track('page_not_found', { path: window.location.pathname, referrer: document.referrer });","useEffect en la plantilla 404 (pages/404.jsx o app/not-found.jsx en Next.js)."
