empresa,pais,region,especialidad,ciudad,email,web,telefono,contacto,cargo
Loxam España,España,Europa,Generalista,Madrid,info.es@loxam.com,www.loxam.es,+34 91 748 70 00,Carlos Martínez,Director General
Kiloutou España,España,Europa,Generalista,Barcelona,info@kiloutou.es,www.kiloutou.es,+34 93 476 12 00,Ana López,Country Manager
Hune,España,Europa,Elevación,Madrid,info@hune.es,www.hune.es,+34 91 659 98 00,Pedro Navarro,CEO
Riwal España,España,Europa,Plataformas elevadoras,Barcelona,spain@riwal.com,www.riwal.es,+34 93 575 03 40,Javier Ruiz,Managing Director
Grúas Aguilar,España,Europa,Grúas,Valencia,gruasaguilar@gruasaguilar.com,www.gruasaguilar.com,902 999 103,General,
Serema,España,Europa,Construcción,Valencia,comercial@seremacarretillas.com,www.seremacarretillas.com,,General,
Maquiber,España,Europa,Construcción,Madrid,contacto@maquiber.es,www.maquiber.es,+34 91 885 02 10,Roberto García,Gerente
Alquimotor,España,Europa,Industrial,Valencia,info@alquimotor.es,www.alquimotor.es,+34 96 155 02 40,Francisco Ruiz,Director Comercial
Boels España,España,Europa,Generalista,Barcelona,spain@boels.com,www.boels.es,,General,
Plataformas Lozano,España,Europa,Plataformas elevadoras,Madrid,direccion.comercial@plataformaslozano.com,www.plataformaslozano.com,,Dirección Comercial,
Intruck Carretillas,España,Europa,Industrial,Barcelona,info@intruck.es,www.intruck.es,,General,
Grúas García Castellón,España,Europa,Grúas,Valencia,info@gruasgarcia.es,www.gruasgarcia.es,+34 96 420 03 70,Antonio García,CEO
Ramirent España,España,Europa,Construcción,Barcelona,spain@ramirent.com,www.ramirent.es,+34 93 480 75 00,Sara Gómez,Country Manager
Agromaquinaria del Sur,España,Europa,Agrícola,Sevilla,info@agromaquinariasur.es,www.agromaquinariasur.es,+34 95 412 80 90,Manuel Jiménez,Gerente
Tractores y Cosechadoras Béticos,España,Europa,Agrícola,Sevilla,comercial@tcbeticos.es,www.tcbeticos.es,+34 95 433 21 10,Lucía Romero,Directora Comercial
Elevaciones Sevilla,España,Europa,Plataformas elevadoras,Sevilla,info@elevacionessevilla.es,www.elevacionessevilla.es,+34 95 467 12 30,Diego Torres,Responsable de Flota
Loxam,Francia,Europa,Generalista,París,contact@loxam.fr,www.loxam.fr,+33 1 46 35 56 00,Gérard Marchand,PDG
Kiloutou,Francia,Europa,Generalista,París,contact@kiloutou.fr,www.kiloutou.fr,+33 3 20 14 62 00,Olivier Colleau,DG
Haulotte,Francia,Europa,Plataformas elevadoras,París,info@haulotte.com,www.haulotte.com,+33 4 77 27 03 03,Alexandre Saubot,PDG
