empresa,score_total,tier,score_tamano,score_especialidad,score_region,score_madurez_digital,razon
GrúasTorre y Elevación Levante S.A.,89,A,95,96,92,72,"Encaje máximo: gran tamaño (210 empleados, 24 M€), especialidad de elevación (prioritaria) y región prioritaria (C. Valenciana). Madurez digital estimada en 72 sin verificar la web."
Alquileres Maquinaria Ibérica S.L.,86,A,85,95,95,70,"Gran cuenta en Madrid (región prioritaria) especializada en elevación; 180 empleados y 18 M€. Madurez digital sin verificar (web informativa estimada)."
Excavaciones y Alquileres del Levante S.A.,83,A,80,92,92,70,"Movimiento de tierras (prioritaria) en C. Valenciana, 95 empleados y 9,5 M€. Tamaño y especialidad sólidos; madurez digital sin verificar."
Movitierra Andalucía Alquiler S.L.,83,A,79,93,92,70,"Movimiento de tierras en Andalucía (región prioritaria), 75 empleados y 8,2 M€. Buen encaje global; madurez digital sin verificar."
Alquiler Industrial Norte S.L.,80,A,82,78,90,70,"120 empleados y 13,5 M€ en País Vasco (prioritaria). Especialidad de generadores/energía es secundaria, lo que baja ligeramente el encaje. Madurez digital sin verificar."
RentMaq Cataluña S.L.,79,A,76,75,95,72,"Cataluña (prioritaria) y tamaño medio-alto (60 empleados, 7,2 M€). Manutención es especialidad secundaria. Madurez digital sin verificar."
Maquinaria del Sur Alquiler S.L.,78,A,64,92,92,70,"Movimiento de tierras en Andalucía con fuerte encaje de especialidad y región; tamaño medio (45 empleados, 4,1 M€) limita la puntuación. Madurez digital sin verificar."
Plataformas Elevadoras Aragón S.L.,73,B,56,95,75,70,"Especialidad de elevación excelente, pero tamaño contenido (30 empleados, 2,8 M€) y Aragón fuera de regiones prioritarias. Madurez digital sin verificar."
Compactación y Obra Civil Galicia S.L.,69,B,49,90,72,70,"Obra civil (prioritaria) en Galicia; empresa pequeña (22 empleados, 1,9 M€) que reduce el encaje por tamaño. Madurez digital sin verificar."
Maquinaria Agrícola y Forestal Castilla S.L.,66,B,47,82,70,68,"Catalogada como obra civil con matiz agrícola/forestal; pequeña (18 empleados, 1,6 M€) en Castilla y León. Especialidad sin verificar del todo; madurez digital sin verificar."
Eventos y Estructuras Rent S.L.,61,B,44,45,95,70,"Madrid suma mucho (región prioritaria), pero eventos/andamios es especialidad de nicho y la empresa es pequeña (15 empleados). Madurez digital sin verificar."
Alquiler de Carretillas Mediterráneo S.L.,61,B,40,75,68,68,"Manutención (secundaria) en Murcia; empresa pequeña (12 empleados, 0,9 M€). Encaje medio; madurez digital sin verificar."
Clima y Frío Industrial Canarias S.L.,51,B,28,70,45,66,"Climatización industrial (secundaria) pero muy pequeña (9 empleados, 0,75 M€) y en Canarias (zona insular de menor demanda). Madurez digital sin verificar."
Herramienta y Maquinaria Express S.L.,42,C,19,40,95,30,"Pese a estar en Cataluña, es microempresa (5 empleados, 0,4 M€) de herramienta ligera (nicho) y sin web localizable: madurez digital baja. Encaje bajo."
