Keyword / Tema,Categoría,Intención,URL del artículo,Estado,Volumen (DinoRank),Volumen grupo,Competencia,Pos. media (GSC 90d),Clics (90d),Impresiones (90d),Prioridad,Notas
maquinaria de construcción,Maquinaria general,Comercial/Info,,Pendiente,450000,450000,0.92,,,,🔴 Alta,1 variantes
generador gasolina,Generadores,Comercial/Info,,Pendiente,9900,9900,1.0,,,,🔴 Alta,1 variantes
mini excavadora segunda mano,Miniexcavadoras,Comercial,seo/articulos/mini-excavadora-segunda-mano.html,Redactado (pte. dominio),2400,8680,1.0,,,,🔴 Alta,"6 variantes: miniexcavadora segunda mano, excavadora mini segunda mano, miniexcavadora de segunda mano"
caseta de obra de segunda mano,Casetas y contenedores,Comercial,seo/articulos/caseta-de-obra-segunda-mano.html,Redactado (pte. dominio),2900,5800,0.0,,,,🔴 Alta,2 variantes: caseta de obra segunda mano
elevadora tijera,Plataformas elevación,Comercial/Info,,Pendiente,2900,4475,1.0,,,,🔴 Alta,"3 variantes: elevadora de tijera, elevadoras de tijera"
generador electrico para casa,Generadores,Comercial/Info,,Pendiente,1900,3800,1.0,,,,🔴 Alta,2 variantes: generador eléctrico para casa
plataforma elevadora de tijera,Plataformas elevación,Comercial/Info,,Pendiente,1000,3260,1.0,,,,🔴 Alta,"5 variantes: plataformas elevadoras de tijera, plataformas elevadoras tijera, plataforma tijera elevadora"
caseta de obra alquiler,Casetas y contenedores,Comercial/Info,,Pendiente,1007,3007,0.0,,,,🔴 Alta,"3 variantes: alquiler de caseta de obra, alquiler caseta de obra"
dumper de obra,Dumpers y cargadoras,Comercial/Info,,Pendiente,2900,2900,0.65,,,,🔴 Alta,1 variantes
comprar contenedor marítimo,Casetas y contenedores,Comercial,seo/articulos/comprar-contenedor-maritimo.html,Redactado (pte. dominio),1300,2600,1.0,,,,🔴 Alta,2 variantes: comprar contenedor maritimo
medidas contenedor 20 pies,Casetas y contenedores,Comercial/Info,seo/articulos/medidas-contenedor-maritimo.html,Redactado (pte. dominio),1600,2080,0.53,,,,🔴 Alta,2 variantes: contenedor de 20 pies medidas
precio caseta de obra,Casetas y contenedores,Comercial,seo/articulos/caseta-de-obra-segunda-mano.html,Redactado (pte. dominio),720,2030,0.55,,,,🔴 Alta,"3 variantes: caseta de obra precio, caseta de obra precios"
generador electrico silencioso,Generadores,Comercial/Info,,Pendiente,1000,2000,1.0,,,,🔴 Alta,2 variantes: generador eléctrico silencioso
retro excavadora segunda mano,Excavadoras,Comercial,seo/articulos/excavadora-segunda-mano.html,Redactado (pte. dominio),1900,1900,0.96,,,,🔴 Alta,1 variantes
generador electrico barato,Generadores,Comercial,,Pendiente,880,1760,0.0,,,,🔴 Alta,2 variantes: generador eléctrico barato
medidas contenedor 40 pies,Casetas y contenedores,Comercial/Info,seo/articulos/medidas-contenedor-maritimo.html,Redactado (pte. dominio),1600,1600,0.64,,,,🔴 Alta,1 variantes
contenedor 20 pies,Casetas y contenedores,Comercial/Info,seo/articulos/medidas-contenedor-maritimo.html,Redactado (pte. dominio),880,1470,0.0,,,,🔴 Alta,2 variantes: contenedor de 20 pies
maquinaria agricola segunda mano,Maquinaria general,Comercial,,Pendiente,1300,1310,0.63,,,,🔴 Alta,2 variantes: maquinaria segunda mano agricola
contenedor marítimo medidas,Casetas y contenedores,Comercial/Info,seo/articulos/medidas-contenedor-maritimo.html,Redactado (pte. dominio),1300,1300,0.89,,,,🔴 Alta,1 variantes
generador electrico leroy merlin,Generadores,Comercial/Info,,Pendiente,590,1210,1.0,,,,🔴 Alta,"3 variantes: generador eléctrico leroy merlin, generador eléctrico en leroy merlin"
excavadora de segunda mano,Excavadoras,Comercial,seo/articulos/excavadora-segunda-mano.html,Redactado (pte. dominio),590,1180,0.99,,,,🔴 Alta,2 variantes: excavadoras de segunda mano
contenedores marítimos segunda mano,Casetas y contenedores,Comercial,seo/articulos/comprar-contenedor-maritimo.html,Redactado (pte. dominio),1000,1170,1.0,,,,🔴 Alta,2 variantes: contenedores maritimos de segunda mano
segunda mano carretilla elevadora,Plataformas elevación,Comercial,,Pendiente,1000,1090,1.0,,,,🔴 Alta,2 variantes: carretilla elevadora de segunda mano
venta de caseta de obra,Casetas y contenedores,Comercial,seo/articulos/caseta-de-obra-segunda-mano.html,Redactado (pte. dominio),590,1070,1.0,,,,🔴 Alta,2 variantes: caseta de obra venta
venta de contenedores usados baratos,Casetas y contenedores,Comercial,seo/articulos/comprar-contenedor-maritimo.html,Redactado (pte. dominio),1000,1000,1.0,,,,🔴 Alta,1 variantes
contenedor marítimo,Casetas y contenedores,Comercial/Info,,Pendiente,1000,1000,1.0,,,,🔴 Alta,1 variantes
maquinaria segunda mano,Maquinaria general,Comercial,,Pendiente,480,960,0.0,,,,🟠 Media,2 variantes: maquinaria de segunda mano
venta maquinaria agricola por jubilacion,Maquinaria general,Comercial,,Pendiente,880,880,0.33,,,,🟠 Media,1 variantes
